time,seconds_elapsed,z,y,x
1.74852E+18,283.2630457,-0.739583313,0.023364907,2.364284277
1.74852E+18,283.2818525,-0.677276909,-0.307714313,2.211572409
1.74852E+18,283.3006594,-0.635739267,-0.381015986,2.176143408
1.74852E+18,283.3194661,-0.569767773,-0.253959745,2.069855928
1.74852E+18,283.3382732,-0.516013205,-0.294275671,1.724116445
1.74852E+18,283.3570801,-0.413390875,-0.304049224,1.229330063
1.74852E+18,283.375887,-0.263122469,-0.111021489,0.760199428
1.74852E+18,283.3946938,-0.156835034,-0.076814041,0.347266674
1.74852E+18,283.413501,-0.065207943,-0.014507622,0.02351762
1.74852E+18,283.4323076,0.045966256,0.012369657,-0.228151456
1.74852E+18,283.4511147,0.124154702,-0.078035735,-0.468825281
1.74852E+18,283.4699214,0.163248926,-0.27350685,-0.669183195
1.74852E+18,283.4887283,0.179130957,-0.414001733,-0.793796003
1.74852E+18,283.5075354,0.217003495,-0.328483105,-0.892753243
1.74852E+18,283.526342,0.26464957,-0.137898773,-0.951394618
1.74852E+18,283.5451492,0.267092973,-0.209978744,-1.084712029
1.74852E+18,283.5639558,0.234107211,-0.444544107,-1.337602735
1.74852E+18,283.5827629,0.275644839,-0.317487866,-1.595380306
1.74852E+18,283.6015698,0.366050214,0.119878776,-1.69678092
1.74852E+18,283.6203767,0.423469871,0.158972993,-1.722436547
1.74852E+18,283.6391836,0.510210156,-0.16721943,-1.978992462
1.74852E+18,283.6579905,0.642153203,-0.307714313,-2.289302826
1.74852E+18,283.6767974,0.67513895,-0.242964491,-2.495769262
1.74852E+18,283.6956045,0.654370129,0.003817795,-2.641150951
1.74852E+18,283.7144111,0.601837277,0.265260428,-2.525089741
1.74852E+18,283.7332183,0.618941009,0.392316639,-2.523868084
1.74852E+18,283.7520249,0.697129428,0.180963501,-2.768207073
1.74852E+18,283.770832,0.661700308,0.009926268,-2.861055851
1.74852E+18,283.7896392,0.656813502,0.033138465,-2.785310745
1.74852E+18,283.8084458,0.625049472,0.168746561,-2.803636312
1.74852E+18,283.8272529,0.552969456,-0.03771982,-2.694905281
1.74852E+18,283.8460598,0.468672574,-0.036498122,-2.453009844
1.74852E+18,283.8648667,0.391705811,0.058794048,-2.161024809
1.74852E+18,283.8836738,0.278088212,0.051463883,-1.744427085
1.74852E+18,283.9024805,0.171800792,0.117435388,-1.255749226
1.74852E+18,283.9212876,0.14614521,0.309241414,-0.836555302
1.74852E+18,283.9400945,0.147366896,0.406976998,-0.396745294
1.74852E+18,283.9589014,0.020310672,0.233496368,0.040621344
1.74852E+18,283.9777085,-0.147061482,0.129652336,0.619704545
1.74852E+18,283.9965156,-0.219141454,0.108883522,1.099830508
1.74852E+18,284.0153223,-0.230136707,0.07345438,1.482220888
1.74852E+18,284.0341294,-0.148283169,0.156529605,1.874384761
1.74852E+18,284.0529363,-0.258235693,0.217614338,2.189582109
1.74852E+18,284.0717432,-0.453706801,0.23105298,2.553647041
1.74852E+18,284.0905503,-0.574654579,0.297024488,2.944589138
1.74852E+18,284.1093572,-0.525786757,0.330010235,3.06065011
1.74852E+18,284.1281643,-0.519678295,0.248156697,2.949476004
1.74852E+18,284.1469712,-0.67361182,0.201732308,2.794320822
1.74852E+18,284.1657781,-0.643069446,0.152864531,2.877396107
1.74852E+18,284.1845852,-0.470810533,0.086893022,2.806537628
1.74852E+18,284.2033921,-0.451263398,0.086893022,2.695363522
1.74852E+18,284.2221992,-0.647956252,0.047798797,2.692920208
1.74852E+18,284.2410061,-0.822658539,-0.146450624,2.647717476
1.74852E+18,284.259813,-0.856866002,-0.321152955,2.570750713
1.74852E+18,284.2786201,-0.806776524,-0.428662062,2.43025589
1.74852E+18,284.2974272,-0.820215166,-0.239299417,2.267770529
1.74852E+18,284.3162341,-0.784786046,-0.179436386,1.996554255
1.74852E+18,284.3350413,-0.679720283,-0.329704821,1.716786265
1.74852E+18,284.3538481,-0.573432863,-0.322374642,1.42846632
1.74852E+18,284.3726553,-0.485470861,-0.101247936,1.079061627
1.74852E+18,284.3914624,-0.300994992,0.171189949,0.590383887
1.74852E+18,284.4102693,-0.143396392,0.178520113,0.076050483
1.74852E+18,284.4290762,-0.009009997,0.001374406,-0.433396131
1.74852E+18,284.4478833,0.099720813,-0.009620844,-0.751036704
1.74852E+18,284.4666902,0.218225181,0.334897012,-0.757145166
1.74852E+18,284.4854976,0.219446883,0.330010235,-0.65330112
1.74852E+18,284.5043047,0.297635317,-0.216087222,-0.834111929
1.74852E+18,284.5231116,0.443016976,-0.591147423,-1.16900897
1.74852E+18,284.5419185,0.484554589,-0.470199674,-1.31805563
1.74852E+18,284.5607256,0.471115947,0.019699825,-1.293621778
1.74852E+18,284.5795327,0.526092231,0.217614338,-1.27896142
1.74852E+18,284.5983398,0.570073187,0.07711947,-1.569724798
1.74852E+18,284.6171467,0.593285382,-0.34070006,-1.986322522
1.74852E+18,284.6359539,0.616497576,-0.555718303,-2.275864124
1.74852E+18,284.654761,0.621384382,-0.197761804,-2.352830887
1.74852E+18,284.6735679,0.587176919,0.200510606,-2.29174614
1.74852E+18,284.692375,0.64703995,0.248156697,-2.432240963
1.74852E+18,284.7111824,0.851062953,0.161416382,-2.774315596
